movie_id,director_id
1,52
2,62
3,1150
4,1658
5,441
6,1237
6,542
7,776
7,162
7,1131
8,1584
9,1709
10,1400
11,1896
12,433
13,1526
14,284
15,789
16,235
17,1479
18,1562
19,40
20,1799
21,1940
22,1413
23,925
23,248
24,472
25,146
25,1053
26,1916
27,883
28,1492
29,865
30,1765
31,986
32,800
33,608
34,118
35,1088
35,323
36,140
37,859
38,269
39,437
40,1708
41,1823
42,432
43,1699
44,905
45,757
46,1631
46,1992
47,725
48,1894
49,80
50,1352
51,572
51,720
51,1314
52,544
53,1611
54,390
54,522
55,1103
55,1407
56,1366
57,1926
58,431
59,1047
60,1539
60,482
61,1574
62,1427
63,449
64,1738
65,1145
66,973
67,159
68,785
69,424
70,721
71,1000
71,450
72,1635
73,1358
74,373
74,103
75,1802
76,107
77,42
78,525
79,222
79,1186
79,53
80,1702
81,1355
82,217
82,888
83,554
83,1262
83,1656
84,178
84,572
85,1743
86,1803
87,1001
88,1417
89,705
90,248
91,1208
92,29
93,1542
94,378
95,821
95,1008
96,1153
97,1620
98,626
98,1165
98,1272
99,542
100,1412
101,479
102,306
103,1689
104,1012
105,188
106,1563
107,1199
108,215
109,821
110,828
110,1772
110,1054
111,1062
112,1900
113,1454
114,461
115,1468
116,1129
117,280
118,1040
118,548
119,1352
120,1113
121,1589
122,76
123,902
123,205
124,543
125,1284
125,1472
125,1818
126,889
127,1851
128,768
129,162
130,942
131,1936
132,408
132,788
133,1433
134,1594
134,1526
135,472
136,903
137,605
138,750
138,1088
139,155
140,809
141,1378
142,1932
143,93
144,1818
145,317
146,911
147,1321
147,735
148,1944
148,1737
148,1688
149,258
150,303
151,1775
152,488
153,1528
154,224
155,64
156,1005
157,1297
158,882
159,1819
160,195
161,972
162,1525
163,842
164,1184
165,1562
166,1903
167,294
168,930
169,1810
170,558
171,1050
172,1390
173,419
174,1019
175,1652
175,726
176,1887
177,1454
178,1884
178,742
179,821
180,1297
181,716
181,720
182,1555
183,1280
184,621
185,926
186,1770
187,1136
188,127
189,897
190,794
190,838
191,1390
192,290
193,772
194,370
195,318
195,159
195,606
196,690
197,90
198,634
199,1030
200,1791
201,329
202,455
202,1673
203,791
204,203
205,11
206,1124
206,1926
207,860
208,1472
209,854
210,1115
210,1040
210,1611
211,34
212,681
213,359
213,1701
214,1621
215,1670
216,680
216,560
217,1833
218,170
219,672
220,1489
221,1641
222,1322
223,922
224,816
225,793
226,278
227,1660
227,1397
227,1982
228,1744
228,323
229,54
230,1811
231,1473
231,981
231,1077
232,1393
233,1779
234,332
235,1301
236,1190
237,1770
238,432
239,1654
240,418
241,268
241,1558
241,759
242,289
243,857
243,509
244,1021
245,1980
246,1014
247,1490
247,750
248,1134
249,1277
250,408
251,1647
252,1256
253,1044
254,854
255,106
256,1435
257,311
258,1149
259,1092
260,505
261,1414
262,1113
263,162
263,710
263,1893
264,1426
264,557
265,1854
266,1579
267,1804
268,184
268,1336
269,814
269,1614
269,1015
270,220
271,275
271,1743
272,1472
273,396
274,1371
275,509
276,547
277,1419
278,1406
279,932
280,1221
281,160
282,672
283,114
284,1378
285,93
286,838
287,1879
288,1101
289,1473
290,387
291,915
292,1769
293,1877
294,1068
294,453
294,847
295,875
296,615
297,296
297,1651
298,498
299,1484
300,1790
301,428
302,1545
303,580
304,1019
305,1153
306,1187
306,1475
307,504
308,1629
309,1111
309,1315
310,1369
310,100
311,310
312,1266
313,1480
314,1864
314,368
315,1270
316,499
317,115
318,1883
318,88
319,153
320,1541
321,1108
322,896
323,1585
324,1928
325,1461
326,1606
327,1560
328,1137
329,1607
330,1485
331,550
332,1603
333,1016
334,1271
335,1236
336,1602
336,497
336,668
337,1118
338,597
339,1617
340,1892
341,1347
342,530
343,453
344,51
345,703
346,1427
347,1328
347,224
348,947
349,1511
350,1541
351,538
352,1732
353,626
354,857
355,1322
356,645
357,1974
357,1151
358,64
359,345
360,1588
361,1700
362,241
362,1589
363,340
364,1104
365,1758
366,1457
367,1286
368,1423
369,1735
369,1501
370,815
371,581
372,1832
373,1963
374,513
375,626
376,464
377,469
378,1585
379,1332
380,1262
380,1407
381,720
382,1229
383,803
384,1307
385,1165
385,862
386,29
387,1460
388,635
389,801
390,238
390,929
391,336
392,1600
393,539
394,342
394,754
395,1043
396,746
397,853
398,1648
399,936
400,623
401,1910
402,1347
403,123
404,1065
404,846
405,1163
406,1743
407,1933
408,921
409,949
410,1712
411,1387
412,1127
413,127
414,1921
415,909
415,1658
416,104
416,345
417,1861
418,1269
419,785
420,1643
421,1029
421,659
422,1661
423,1995
423,327
423,206
424,1942
425,1214
426,1154
427,185
428,979
429,364
430,1734
431,280
432,1151
433,4
434,214
435,1814
436,512
437,1985
438,208
439,653
440,154
441,890
442,839
442,1428
442,1135
